Neighborhood,City,State,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Shockoe Bottom,Richmond,VA,37.5337726,-77.42682560000002,Lulu's,37.53409120361018,-77.42802797386697,New American Restaurant
Shockoe Bottom,Richmond,VA,37.5337726,-77.42682560000002,Hot Chick,37.533716872595825,-77.42846442497422,Fried Chicken Joint
Shockoe Bottom,Richmond,VA,37.5337726,-77.42682560000002,Havana '59,37.53382332373362,-77.42832524008547,Cuban Restaurant
Shockoe Bottom,Richmond,VA,37.5337726,-77.42682560000002,Sumo San,37.53310148736823,-77.42795872986305,Sushi Restaurant
Shockoe Bottom,Richmond,VA,37.5337726,-77.42682560000002,southern kitchen,37.532894,-77.427723,Southern / Soul Food Restaurant
Shockoe Bottom,Richmond,VA,37.5337726,-77.42682560000002,Tio Pablo,37.53415584866203,-77.42760197601748,Mexican Restaurant
Shockoe Bottom,Richmond,VA,37.5337726,-77.42682560000002,17th Street Farmer's Market,37.53373954653926,-77.42843872559801,Farmers Market
Shockoe Bottom,Richmond,VA,37.5337726,-77.42682560000002,Station 2,37.531568108139965,-77.42513445321937,Burger Joint
Shockoe Bottom,Richmond,VA,37.5337726,-77.42682560000002,The Edgar Allan Poe Museum,37.53210634474117,-77.42606431245804,Museum
Shockoe Bottom,Richmond,VA,37.5337726,-77.42682560000002,Addis Ethiopian Restaurant,37.533740094128625,-77.42812559008598,Ethiopian Restaurant
Shockoe Bottom,Richmond,VA,37.5337726,-77.42682560000002,Kulture,37.53316894308822,-77.42744495701122,Smoke Shop
Shockoe Bottom,Richmond,VA,37.5337726,-77.42682560000002,On the ROX,37.534222449668455,-77.42619926435388,Bar
Shockoe Bottom,Richmond,VA,37.5337726,-77.42682560000002,Whisk Bakery,37.53133177771313,-77.42491481163917,Bakery
Shockoe Bottom,Richmond,VA,37.5337726,-77.42682560000002,Bottoms Up Pizza,37.53231133845205,-77.42941262839378,Pizza Place
Shockoe Bottom,Richmond,VA,37.5337726,-77.42682560000002,Church Hill Lookout,37.53278360348221,-77.42288139398875,Scenic Lookout
Shockoe Bottom,Richmond,VA,37.5337726,-77.42682560000002,25 Watt,37.533941999999996,-77.426231,Dive Bar
Shockoe Bottom,Richmond,VA,37.5337726,-77.42682560000002,Honey Whyte's,37.530948661183125,-77.4243698144921,Bar
Shockoe Bottom,Richmond,VA,37.5337726,-77.42682560000002,Grandstaff & Stein,37.530917827815664,-77.42460290401718,Speakeasy
Shockoe Bottom,Richmond,VA,37.5337726,-77.42682560000002,Shockoe Denim,37.53401752187561,-77.43087085883772,Clothing Store
