Neighborhood,City,State,Neighborhood Latitude,Neighborhood Longitude
Capitol View,Washington,DC,38.8899271,-76.92541340000002
Central Northeast,Washington,DC,38.8959453,-76.9413632
Civic Betterment,Washington,DC,38.8794409,-76.92990379999998
Deanwood,Washington,DC,38.902971,-76.93269269999998
Dupont Park,Washington,DC,38.873622600000004,-76.96286580000002
East Corner,Washington,DC,38.86248079999999,-77.01701589999998
East River Heights,Washington,DC,38.8920564,-76.9435854
Eastland Gardens,Washington,DC,38.9054506,-76.9434208
Fairfax Village,Washington,DC,38.86388710000001,-76.950623
Fairlawn,Washington,DC,38.8694706,-76.9774233
Fort Davis,Washington,DC,38.8667792,-76.9460854
Fort Dupont,Washington,DC,38.887404,-76.94846240000003
Fort Stanton,Washington,DC,38.85558210000001,-76.9794276
Good Hope,Washington,DC,38.8626125,-76.96386369999998
Greenway,Washington,DC,38.8835718,-76.95998519999998
Hillbrook,Washington,DC,38.89506220000001,-76.9349311
Hillcrest,Washington,DC,38.8633458,-76.96286580000002
Kenilworth,Washington,DC,38.9095355,-76.9398195
Lincoln Heights,Washington,DC,38.8957169,-76.93117609999999
Marshall Heights,Washington,DC,38.8851176,-76.9282948
Mayfair,Washington,DC,38.902698,-76.949742
Naylor Gardens,Washington,DC,38.8582068,-76.96286580000002
Northeast Boundary,Washington,DC,38.8937543,-76.91388730000001
Penn Branch,Washington,DC,38.8726445,-76.954224
Randle Highlands,Washington,DC,38.869136,-76.9686267
River Terrace,Washington,DC,38.8920564,-76.95747469999998
Skyland,Washington,DC,38.859184,-76.97150699999997
Twining,Washington,DC,38.87177910000001,-76.96580820000001
Anacostia,Washington,DC,38.8627944,-76.9826813
Barry Farm,Washington,DC,38.859303499999996,-76.99907359999997
Bellevue,Washington,DC,38.8274243,-77.0089452
Buena Vista,Washington,DC,38.851149,-76.9686267
Congress Heights,Washington,DC,38.842673299999994,-76.9959872
Douglass,Washington,DC,38.847311,-76.9801476
Garfield Heights,Washington,DC,38.8547684,-76.9722271
Knox Hill,Washington,DC,38.85344600000001,-76.96691919999998
Shipley Terrace,Washington,DC,38.847335,-76.96914149999998
Washington Highlands,Washington,DC,38.830942900000004,-76.9945473
Woodland,Washington,DC,38.8560701,-76.972673
Arlington,Baltimore,MD,39.3481652,-76.6831397
Ashburton,Baltimore,MD,39.3267715,-76.67447840000001
Burleigh-Leighton,Baltimore,MD,39.319664,-76.659813
Callaway-Garrison,Baltimore,MD,39.3325396,-76.68025259999997
Central Forest Park,Baltimore,MD,39.3264513,-76.68819180000001
Central Park Heights,Baltimore,MD,39.3442762,-76.6715911
Cheswolde,Baltimore,MD,39.3682118,-76.68025259999997
Cross Country,Baltimore,MD,39.3680087,-76.70046049999998
Dolfield,Baltimore,MD,39.3355407,-76.67497209999998
Dorchester,Baltimore,MD,39.3306608,-76.6860267
East Arlington,Baltimore,MD,39.3311985,-76.66870379999997
Fallstaff,Baltimore,MD,39.3635826,-76.70623359999998
Forest Park/Howard Area,Baltimore,MD,39.3312176,-76.6946932
Gwynn Oak,Baltimore,MD,39.3359385,-76.6977522
Glen,Baltimore,MD,39.3553726,-76.69035699999998
Grove Park,Baltimore,MD,39.3403151,-76.70334709999999
Hanlon Park – Longwood,Baltimore,MD,39.31662559999999,-76.66942569999998
Howard Park,Baltimore,MD,39.3312176,-76.6946932
Langston Hughes,Baltimore,MD,39.343287,-76.6795309
Liberty Square,Baltimore,MD,39.3216563,-76.65787590000002
Lucille Park,Baltimore,MD,39.3404035,-76.6766438
Northwest Community Action,Baltimore,MD,39.30592439999999,-76.6650946
