Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Mid-Govans,39.3598066,-76.6080554,Gallery 788 @ MAP,39.35982,-76.610268,Art Gallery
Mid-Govans,39.3598066,-76.6080554,Favorites Pub,39.360913660796975,-76.61017132373107,Bar
Mount Washington,39.36253019999999,-76.65957270000001,Trap House,39.36220374374429,-76.66114974455898,Vape Store
Medfield,39.3398124,-76.6441591,Medfield Recreation Center,39.340502,-76.645258,Gym / Fitness Center
Oakenshawe,39.3299076,-76.6138327,Tamber's Restaurant,39.329069004090876,-76.61586354790207,Diner
Oakenshawe,39.3299076,-76.6138327,Dr. James C. Dreese MD,39.329267,-76.614289,Hospital
Oakenshawe,39.3299076,-76.6138327,Hopkins Inn,39.329694,-76.616501,Hotel
Old Goucher,39.3149523,-76.6167212,Fadensonnen,39.315143,-76.617214,Sake Bar
Old Goucher,39.3149523,-76.6167212,Dutch Courage,39.315033,-76.616463,Cocktail Bar
Old Goucher,39.3149523,-76.6167212,iBar,39.3137714146652,-76.61815133873527,Sports Bar
Old Goucher,39.3149523,-76.6167212,Baltimore Eagle,39.31303905089603,-76.61693217785876,Gay Bar
Old Goucher,39.3149523,-76.6167212,Brown Rice Korean Grill - N Charles,39.31649388430755,-76.61697680303412,Korean Restaurant
Old Goucher,39.3149523,-76.6167212,Sophomore Coffee,39.315081,-76.617805,Coffee Shop
Old Goucher,39.3149523,-76.6167212,mi Comalito,39.31336,-76.61637,Latin American Restaurant
Old Goucher,39.3149523,-76.6167212,Starbucks,39.316698,-76.616307,Coffee Shop
Old Goucher,39.3149523,-76.6167212,Nam Kang Restaurant,39.31402408558759,-76.6181790411261,Korean Restaurant
Old Goucher,39.3149523,-76.6167212,Beatnik Bar,39.31327065600604,-76.6180301213304,Bar
Old Goucher,39.3149523,-76.6167212,2110 Bistro,39.31364812284444,-76.6169786453247,American Restaurant
Old Goucher,39.3149523,-76.6167212,Club K,39.31330095650979,-76.61763383968392,Rock Club
Old Goucher,39.3149523,-76.6167212,Safeway,39.3168211,-76.6165853,Grocery Store
Old Goucher,39.3149523,-76.6167212,Calvert Street Park,39.31589390969508,-76.61461610258814,Park
Old Goucher,39.3149523,-76.6167212,NextCar,39.315765,-76.61926899999999,Rental Car Location
Pen Lucy,39.3390889,-76.60516659999998,Focus Movers,39.3386192321777,-76.6043090820313,Transportation Service
Pen Lucy,39.3390889,-76.60516659999998,Baltimore City SEO - Maryland Internet Marketing,39.339326040260936,-76.60653948783875,Business Service
Remington,39.3206574,-76.62270090000001,R. House,39.32176782244463,-76.62215414995673,Food Court
Remington,39.3206574,-76.62270090000001,Ground & Griddled,39.321604,-76.622162,Coffee Shop
Remington,39.3206574,-76.62270090000001,r.bar,39.32175759928383,-76.62210074723882,Bar
Remington,39.3206574,-76.62270090000001,Papermoon Diner,39.322468357137176,-76.62127863799638,Diner
Remington,39.3206574,-76.62270090000001,HILO,39.321821136333874,-76.62215645754816,Sushi Restaurant
Remington,39.3206574,-76.62270090000001,Stall 11,39.321736,-76.622293,Vegetarian / Vegan Restaurant
Remington,39.3206574,-76.62270090000001,Long John's Pub,39.32138776063645,-76.62395733237103,Pub
Remington,39.3206574,-76.62270090000001,BRD,39.32179239302913,-76.62215163325386,Fried Chicken Joint
Remington,39.3206574,-76.62270090000001,Be.bim Korean BBQ,39.321777214304696,-76.62212595172888,Korean Restaurant
Remington,39.3206574,-76.62270090000001,Walgreens,39.320584690616116,-76.62123873032766,Pharmacy
Remington,39.3206574,-76.62270090000001,Molina Pizze & Polpette,39.321802,-76.622164,Pizza Place
Remington,39.3206574,-76.62270090000001,Rite Aid,39.3210149,-76.6214375,Pharmacy
Remington,39.3206574,-76.62270090000001,Arba Mediterranean,39.321790033322365,-76.6221455727625,Mediterranean Restaurant
Remington,39.3206574,-76.62270090000001,Subway,39.31927377020554,-76.62466056067268,Sandwich Place
Remington,39.3206574,-76.62270090000001,7-Eleven,39.3212211424059,-76.6208732128143,Convenience Store
Remington,39.3206574,-76.62270090000001,White Envelope,39.321887,-76.622128,Arepa Restaurant
Remington,39.3206574,-76.62270090000001,Remington Grocery & Deli,39.3220904923025,-76.62389780912775,Grocery Store
Remington,39.3206574,-76.62270090000001,Amano Taco,39.32176426766828,-76.62211551606569,Taco Place
Remington,39.3206574,-76.62270090000001,Pizza Boli's,39.322227,-76.622558,Pizza Place
Remington,39.3206574,-76.62270090000001,Chicken Bones,39.321393,-76.624267,American Restaurant
Remington,39.3206574,-76.62270090000001,Fringe Baltimore,39.320838,-76.62258,Health & Beauty Service
Remington,39.3206574,-76.62270090000001,Blacksauce Kitchen,39.31921349623876,-76.62066747357221,Food Truck
Richnor Springs,39.3463484,-76.6073332,APlus at Sunoco,39.34647007275735,-76.60939036042217,Coffee Shop
Richnor Springs,39.3463484,-76.6073332,MTA #48  York and Coldspring,39.34611835982064,-76.60937547761814,Bus Stop
Richnor Springs,39.3463484,-76.6073332,Chicken Run,39.345888,-76.609303,Fried Chicken Joint
Richnor Springs,39.3463484,-76.6073332,Richwood Corner Store,39.346634,-76.607489,Snack Place
Roland Park,39.3544272,-76.63838319999998,Baltimore Siding Contractors,39.355472,-76.637784,Home Service
Rosebank,39.363412,-76.6116662,The Senator Theatre,39.36339226758349,-76.61004061522878,Movie Theater
Rosebank,39.363412,-76.6116662,Clark Burger,39.36367990877725,-76.61000971963969,Burger Joint
Rosebank,39.363412,-76.6116662,Mario's Original Pizza & Pasta,39.363172,-76.60967099999999,Pizza Place
Rosebank,39.363412,-76.6116662,Barnes & Noble,39.363877250634054,-76.60992005334222,Bookstore
Rosebank,39.363412,-76.6116662,Sofi's Crepes Belvedere,39.36373332225406,-76.6098008132827,French Restaurant
Rosebank,39.363412,-76.6116662,Zen West Roadside Cantina,39.36418142816116,-76.61020282890804,Mexican Restaurant
Rosebank,39.363412,-76.6116662,Swallow At The Hollow,39.36493588287482,-76.60970565988026,Bar
Rosebank,39.363412,-76.6116662,Amazing Spiral,39.36327171264732,-76.60993086207742,Bookstore
Rosebank,39.363412,-76.6116662,Jerry's Belvedere Tavern,39.36480302963755,-76.61032425323252,Bar
Rosebank,39.363412,-76.6116662,Yia Yia's Pizzeria,39.363189697265625,-76.60977935791016,Pizza Place
Rosebank,39.363412,-76.6116662,Nouveau Contemporary Goods,39.36451923333333,-76.60921538333334,Furniture / Home Store
Sabina Mattefeldt,39.3652407,-76.6492128,Curb Shoppe Bar & Grill,39.366484116429966,-76.64801643082033,Bar
Sabina Mattefeldt,39.3652407,-76.6492128,Meadowbrook Aquatic And Fitness Center,39.36587168876703,-76.64934463242068,Pool
Sabina Mattefeldt,39.3652407,-76.6492128,Kabab Stop,39.366539939004824,-76.64798310947457,Middle Eastern Restaurant
Sabina Mattefeldt,39.3652407,-76.6492128,Coppermine,39.366209,-76.650014,Athletics & Sports
Station North Arts and Entertainment District,39.3098541,-76.6167212,Charles Theatre,39.309127273263364,-76.61641490326274,Indie Movie Theater
Station North Arts and Entertainment District,39.3098541,-76.6167212,Parkway Theatre,39.310785915128726,-76.61689790153483,Movie Theater
Station North Arts and Entertainment District,39.3098541,-76.6167212,Orto,39.309019,-76.616227,Italian Restaurant
Station North Arts and Entertainment District,39.3098541,-76.6167212,Joe Squared Pizza & Bar,39.31081730305335,-76.61807308402511,Pizza Place
Station North Arts and Entertainment District,39.3098541,-76.6167212,Tapas Teatro,39.309086934204785,-76.61646277174142,Tapas Restaurant
Station North Arts and Entertainment District,39.3098541,-76.6167212,Sofi's Crepes,39.30947307356764,-76.61641859620981,Creperie
Station North Arts and Entertainment District,39.3098541,-76.6167212,Jerry Carryout,39.31112511554995,-76.61557313994292,Chinese Restaurant
Station North Arts and Entertainment District,39.3098541,-76.6167212,Strand Theater Company,39.31049498016819,-76.61642204368951,Theater
Station North Arts and Entertainment District,39.3098541,-76.6167212,Artist & Craftsman Supply,39.310766813875716,-76.61921448893106,Arts & Crafts Store
Station North Arts and Entertainment District,39.3098541,-76.6167212,The Depot,39.30965936504551,-76.61655478812484,Bar
Station North Arts and Entertainment District,39.3098541,-76.6167212,Metro Gallery,39.30888116903645,-76.61653100996085,Music Venue
Station North Arts and Entertainment District,39.3098541,-76.6167212,Pen & Quill,39.30882189647681,-76.61630285144827,American Restaurant
Station North Arts and Entertainment District,39.3098541,-76.6167212,Charm City Art Space,39.309416059728484,-76.6178700033392,Rock Club
Station North Arts and Entertainment District,39.3098541,-76.6167212,The Crown,39.31172392408744,-76.61683180146775,Bar
Station North Arts and Entertainment District,39.3098541,-76.6167212,Club Charles,39.30948930556639,-76.61670506000519,Bar
Station North Arts and Entertainment District,39.3098541,-76.6167212,Motor House,39.31108535883872,-76.61895303602108,Art Gallery
Station North Arts and Entertainment District,39.3098541,-76.6167212,The Yellow Sign Theatre,39.30962832354396,-76.6164608703606,Theater
Station North Arts and Entertainment District,39.3098541,-76.6167212,Gallery One Bar,39.30967973302056,-76.61773976344551,Gay Bar
Station North Arts and Entertainment District,39.3098541,-76.6167212,Single Carrot Theatre,39.30955009248138,-76.61635622694857,Theater
Station North Arts and Entertainment District,39.3098541,-76.6167212,The Gold Bar,39.3117696583073,-76.61693357451465,Bar
Station North Arts and Entertainment District,39.3098541,-76.6167212,Club 1722,39.30935508891969,-76.6164541580481,Nightclub
Station North Arts and Entertainment District,39.3098541,-76.6167212,Hour Haus Studios,39.31058645767237,-76.61923859838062,Music Venue
Tuscany-Canterbury,39.338563,-76.62249809999999,Hopkins Deli,39.336588618321315,-76.62267308295691,Pizza Place
Tuscany-Canterbury,39.338563,-76.62249809999999,Kitsch Cafe,39.337236,-76.624251,Breakfast Spot
Tuscany-Canterbury,39.338563,-76.62249809999999,Pool @ The Carlyle,39.33727394669816,-76.62431180004285,Pool
Tuscany-Canterbury,39.338563,-76.62249809999999,Carlyle Club,39.337270585807154,-76.62448103867943,Indian Restaurant
Tuscany-Canterbury,39.338563,-76.62249809999999,The Carlyle,39.33708667486495,-76.62463126388695,Residential Building (Apartment / Condo)
Tuscany-Canterbury,39.338563,-76.62249809999999,Wyman Park Dog Park,39.33633255605893,-76.62281120763862,Dog Run
Wilson Park,39.3434634,-76.60444439999998,Boot Camp Brandon,39.343658447265625,-76.60405731201172,Gym / Fitness Center
Winston-Govans,39.3496172,-76.6080554,Dollar Tree,39.3498175,-76.6096825,Discount Store
Winston-Govans,39.3496172,-76.6080554,Popeyes Louisiana Kitchen,39.34947323879986,-76.61006734492376,Fried Chicken Joint
Winston-Govans,39.3496172,-76.6080554,Value Village Thrift Store,39.349827530829614,-76.60965916486603,Thrift / Vintage Store
Winston-Govans,39.3496172,-76.6080554,King Wok,39.351083,-76.609429,Chinese Restaurant
Winston-Govans,39.3496172,-76.6080554,Govanstowne Farmer's Market,39.350999,-76.610309,Farmers Market
Winston-Govans,39.3496172,-76.6080554,McDonald's,39.350368370420455,-76.6101375920789,Fast Food Restaurant
Woodberry,39.3317734,-76.64941360000002,Clipper Mill Apartments,39.33165365081326,-76.64684034429251,Park
Woodberry,39.3317734,-76.64941360000002,Drenner Studio,39.33113196666667,-76.64843551666667,Art Gallery
Woodberry,39.3317734,-76.64941360000002,Druid Park Dr & Parkdale Ave,39.332112,-76.648246,Bus Stop
Woodberry,39.3317734,-76.64941360000002,Woodberry Park,39.331295,-76.6519,Park
Woodbourne-McCabe,39.35271729999999,-76.6073332,Enterprise Rent-A-Car,39.35206813077335,-76.60946980118752,Rental Car Location
Woodbourne-McCabe,39.35271729999999,-76.6073332,"MTA #8, 12, 48 Bus Stop",39.353482,-76.609883,Bus Stop
Woodbourne-McCabe,39.35271729999999,-76.6073332,China Star,39.35412,-76.60955,Chinese Restaurant
Wyman Park,39.3308703,-76.6275527,The Charmery,39.331081750859774,-76.62955820560455,Ice Cream Shop
Wyman Park,39.3308703,-76.6275527,Dylan's Oyster Cellar,39.33127262109352,-76.62935703992844,Seafood Restaurant
Wyman Park,39.3308703,-76.6275527,Paulie Gee's Hampden,39.33078522117523,-76.62920260468339,Pizza Place
Wyman Park,39.3308703,-76.6275527,Bazaar,39.33091266429354,-76.62955418229103,Gift Shop
Wyman Park,39.3308703,-76.6275527,Harmony Bakery,39.329828000000006,-76.62955,Bakery
Wyman Park,39.3308703,-76.6275527,Twenty 20 Cycling Co.,39.33118111308129,-76.62880906043453,Bike Shop
Wyman Park,39.3308703,-76.6275527,Dangerously Delicious Pies,39.33128818983352,-76.62995218385939,Pie Shop
Wyman Park,39.3308703,-76.6275527,Howl,39.330543077539666,-76.62935681426437,Pet Store
Wyman Park,39.3308703,-76.6275527,Padma Salon,39.32877358668906,-76.62781410327322,Salon / Barbershop
Wyman Park,39.3308703,-76.6275527,Common Ground,39.33113734186184,-76.62999967074342,Café
Wyman Park,39.3308703,-76.6275527,Royal Farms,39.33217759316058,-76.62774647678013,Convenience Store
Wyman Park,39.3308703,-76.6275527,Breathe Books,39.331457,-76.62996899999999,Bookstore
Wyman Park,39.3308703,-76.6275527,Have Fun Be Lucky,39.331266686444366,-76.6302209909089,Tattoo Parlor
Wyman Park,39.3308703,-76.6275527,Sweet Side Cafe,39.330878000000006,-76.629062,Bakery
Wyman Park,39.3308703,-76.6275527,Antique Exchange Interiors,39.330906805056266,-76.62909032142639,Antique Shop
Wyman Park,39.3308703,-76.6275527,The Modest Florist,39.33121456721396,-76.62942462624802,Flower Shop
Wyman Park,39.3308703,-76.6275527,HeARTwares by Art with a Heart,39.33032989501953,-76.62821960449219,Arts & Crafts Store
Wyman Park,39.3308703,-76.6275527,Full Circle Artisan Palace,39.33074430502164,-76.62958087967428,Donut Shop
Wyman Park,39.3308703,-76.6275527,Arômes,39.33050479360972,-76.62947911843487,French Restaurant
Wyman Park,39.3308703,-76.6275527,Cool Stuff Here,39.331417,-76.628798,Gift Shop
Wyman Park,39.3308703,-76.6275527,Metta Integrative Wellness,39.33147117444459,-76.62897142176107,Spa
Wyman Park,39.3308703,-76.6275527,36th Avenue Pizza,39.331442626268455,-76.62808576827652,Pizza Place
Belair-Edison,39.3216614,-76.5737173,CVS pharmacy,39.32179168090557,-76.57367078015348,Pharmacy
Belair-Edison,39.3216614,-76.5737173,Shareef's Grill,39.3219,-76.5732,American Restaurant
Belair-Edison,39.3216614,-76.5737173,Lin's Carryout,39.320564000000005,-76.572568,Chinese Restaurant
Belair-Edison,39.3216614,-76.5737173,Da Kao Market,39.322089,-76.572623,Convenience Store
Belair-Edison,39.3216614,-76.5737173,Erdman Carryout,39.321889,-76.572929,Fried Chicken Joint
Belair-Edison,39.3216614,-76.5737173,Bank of America ATM,39.322553236403046,-76.57241971604596,ATM
Belair-Edison,39.3216614,-76.5737173,Golden Crown,39.321976,-76.57271999999999,Chinese Restaurant
